Name,Author,Publication Year,Publisher,ISBN,Availability
Cryptography and Network Security. [Principles and Practice] (8th Ed.),Stallings William,2023,Pearson Education,9789357059718,1
The 48 Laws of Power,Greene Robert,1998,Profile Books Ltd,9781861972781,1
Shriman Yogi,Desai Ranjeet,2023,Mehta Publication,9788177666403,1
Partner,Kale V P,2023,Mehta Publication,9788177664294,1
Think and Grow Rich. [Unleash the secret to success],Hill Napoleon,2014,India Book Distributors,9788192910918,1
SUBTLE ART F NOT GIVING A FUCK. [A counterintuitive Approch to Living a Good Life ],MANSON MARK,2016,Harper Collins Publications,9780062641540,1
Secret of the Nagas. [Book 2 of the shiva Trilogy],Amish,2022,Harper Collins Publications,9789356290600,1
The Poppy War,Kuang R F,2018,Harper Voyager,9780008239848,1
The hard things about hard things,Horowitz Ben,2018,Harper Collins Publication,9780062273208,0
Word Power Made Easy. [The Complete Handbook for building a superior Vocabulary],LEWIS NORMAN,1978,Penguin Random House,9780143424680,1
Certificate Physical and Human Geography,Leong Goh Cheng,2024,Oxford University Press,9789354975660,1
SSC Reasoning,Aggarwal R S,2023,S Chand Publications,9789355017284,1
How to Prepare for Quantitative Aptitude for CAT. (10th Ed.),Sharma A K,2023,Mcgraw Hill,9789355320852,1
Through the Broken Glass. [An Autobiography],Seshan T N,2023,Rupa Publications India Pvt. Ltd,9789357021968,1
1984,Orwell George,2022,Golden Minds Publication,9789357201674,1
Chemical Engineering. (3rd Ed.),Made Easy Publications GATE 2024,2023,Made Easy Publication,9789395548878,0
Daivatanchi Satyakatha,Null,2023,Vishwakarma Publications,9789393757432,1
How to win Friends and Influence People,Del Karnegi,2023,Vishwakarma Publications,9789393757456,1
The Empress of Indraprastha Part 2 Building on Emprie,Raje Sonali,2023,Vishwakarma Publications,9789395481267,1
Principles of Mass Transfer and Separation Processes,Dutta Binay K,2023,PHI Learning Pvt Ltd,9788120329904,29
Fundamentals of Python. [First Programs] (2nd Ed.),Lambert Kenneth A,2023,Cengage Learning India Pvt Ltd,9789353502898,19
Artificial Intelligence. (2nd Ed.),Kaushik Saroj,2023,Cengage Learning India Pvt Ltd,9789355730425,24
Operating Systems. [Concept building and Problem solving Approach],Singh Manish Kumar. Kumar Sachin & Pal Saibal K,2022,Cengage Learning India Pvt Ltd,9789355733542,19
Web Design. [Introductory] (6 th Ed.),Campbell J T,2021,Cengage Learning India Pvt Ltd,9789386650320,19
Cryptography Network Security and Cyber Laws,Menezes Bernard L & Kumar Ravinder,2023,Cengage Learning India Pvt Ltd,9789386858948,9
Product Design and Development. (7th Ed.),Ulrich Karl T; Eppinger Steven D & Yang M C,2023,Null,9789390113231,4
Software Engineering. [Concepts and Practices] (2nd Ed.),Suman Ugrasen,2022,Cengage Learning India Pvt Ltd,9789390555475,4
Software Engineering. [Concepts and Practices] (2nd Ed.),Suman Ugrasen,2022,Cengage Learning India Pvt Ltd,9789390555475,14
Machine Learning with R. (4th Ed.),Lantz Brett,2023,Packet Publication,9781801071321,4
Natural Langurage Processing and Information Retrieval,Siddiqui Tanveer & Tiwary U S,2023,Oxford University Press,9780195692327,9
Computer Science. [A Structured Programming Approach Using C ] (3rd Ed.),Forouzan Behrouz A,2022,Cengage Learning India Pvt Ltd,9788131503638,19
Fundamentals of Data Structures in C. (2nd Ed.),Horowitz Ellis; Sahni S & Anderson Freed Susan,2023,University Press,9788173716058,19
Data Structures and Algorithm Made Easy,Karumanchi Narasimha,2022,Career Monk Publication,9788193245279,4
Principles of Information Systems. (14th Ed.),Stair Ralph M & Reynolds George W,2023,Cengage Learning India Pvt Ltd,9789355733771,19
Principles of Information Security. (7th Ed.),Whitman Michael E & Mattord Hebert J,2023,Cengage Learning India Pvt Ltd,9789355738905,19
Cyber Security and Cyber Laws,Basta Alfred; Basta Nadine; Brown Mary & Kumar Ravinder,2018,Cengage Learning India Pvt Ltd,9789387511675,19
Cryptography Network Security and Cyber Laws,Menezes Bernard & Kumar Ravinder,2023,Cengage Learning India Pvt Ltd,9789386858948,19
